Biracko mjesto:;BPS - SEFER HALILOVIc;STRANKA ZA BOSNU I HERCEGOVINU;SDP - SOCIJALDEMOKRATSKA PARTIJA BIH;HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE;DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH;DEMOKRATSKA STRANKA INVALIDA BIH;BOSS - BOSANSKA STRANKA - MIRNES AJANOVIc;SDA - STRANKA DEMOKRATSKE AKCIJE;HSS - NHI;NARODNA STRANKA RADOM ZA BOLJITAK;STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE;????? ?????????? ???????????????? - ???? - ??????? ?????;SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE;STRANKA UDRUzENIH NEZAVISNIH DEMOKRATA BOSNE I HERCEGOVINE;STRANKA DEMOKRATSKE AKTIVNOSTI A-sda;STRANKA ZA NAROD BOSNE I HERCEGOVINE;SAVEZ ZA BOLJU BUDUcNOST BIH - SBB BIH FAHRUDIN RADONcIc;PARTIJA PRAVOG PUTA;TVOJA I MOJA - TIM STRANKA U BIH;STRANKA KOKUZA - SKOK;NASA STRANKA - NOVA SOCIJALISTIcKA PARTIJA ZDRAVKO KRSMANOVIc;HRVATSKA KOALICIJA HDZ 1990 - HSP BIH;LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOSKA STRANKA E-5;KOALICIJA PREOKRET: GDS BIH I NEP BIH;Ukupno za biracko mjesto:
042A009;0;21;106;4;7;4;5;157;0;2;8;10;0;0;1;16;39;1;0;1;11;0;0;0;393
042A010A;2;23;120;3;5;2;0;102;0;5;11;1;1;2;4;3;64;0;0;7;6;0;0;0;361
042A010B;2;16;84;5;3;1;0;104;0;3;10;0;0;1;2;0;33;0;0;2;1;0;1;0;268
042A011;11;25;98;2;3;1;1;100;0;8;3;0;0;1;1;1;50;0;1;2;1;0;0;0;309
042A012;4;22;119;1;2;0;5;64;0;7;9;1;0;0;1;0;35;0;0;2;3;0;0;0;275
042A013A;3;41;123;3;2;1;4;84;0;0;11;0;0;3;2;4;17;4;0;1;3;0;0;1;307
042A013B;2;21;71;1;0;0;0;77;0;0;9;0;0;0;2;1;21;2;0;3;2;0;0;0;212
042A014;1;9;22;2;0;0;1;211;0;1;4;0;1;0;6;1;3;0;0;0;1;0;0;0;263
042A015A;3;19;80;1;0;1;1;101;0;8;4;0;0;2;2;2;29;0;1;0;4;1;0;0;259
042A015B;5;18;86;0;7;0;4;119;0;1;5;0;0;0;0;2;21;0;0;8;6;0;1;0;283
042A016;2;5;202;17;0;0;1;102;0;17;2;0;1;0;0;0;2;0;0;3;0;1;0;1;356
042A017;0;0;4;159;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;4;8;0;0;177
042A018;4;15;94;1;0;0;3;159;0;0;3;0;0;0;3;1;5;0;0;3;0;0;0;0;291
042A019;4;85;65;3;1;0;1;81;0;4;5;0;1;0;4;0;38;0;0;1;0;1;0;0;294
042A020;12;5;57;41;2;2;0;155;0;0;19;0;0;0;8;4;22;0;0;2;1;13;1;0;344
042A021;3;9;54;3;4;0;2;69;0;5;9;0;1;0;0;0;10;1;0;0;0;0;0;0;170
042A022;4;6;72;0;0;0;3;65;0;0;11;0;0;0;2;2;25;0;0;4;1;0;0;0;195
042A023;11;15;157;4;2;0;1;69;0;3;4;2;0;0;1;1;63;1;0;6;5;0;1;0;346
042A024;10;65;144;0;0;1;3;333;0;12;5;0;1;1;1;5;7;0;0;1;1;0;0;0;590
042A025;2;14;43;0;2;0;2;73;0;1;9;0;0;1;2;0;22;0;0;0;0;0;0;0;171
042A026;0;1;27;170;0;0;0;74;2;9;3;4;0;0;1;0;2;2;0;0;0;2;0;0;297
042A027;0;0;227;1;0;1;1;61;1;17;1;0;0;2;0;0;2;0;0;1;0;0;0;0;315
075A000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
