,BM,BORCI ZA NOVU POLITIKU,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,DEVIĆ SLOBODAN,DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,DOMOVINA,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",KOMUNISTIČKA PARTIJA,NARODNI DEMOKRATSKI POKRET,PDP- PARTIJA DEMOKRATSKOG PROGRESA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SELJAČKA STRANKA,SNAGA NARODA,SOCIJALISTIČKA PARTIJA,SRPSKA DEMOKRATSKA STRANKA-SDS/PENZIONERI-PUP/RADIKALI-SRS RS,SRPSKA NAPREDNA STRANKA - SNS,STRANKA PRAVEDNE POLITIKE,TADIĆ ALEKSANDAR,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,VUKOVIĆ SLAVKO,ZA PRAVDU I RED-LISTA NEBOJŠE VUKANOVIĆA,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ-LDS),Ukupno
,074B021B,0,0,0,5,1,0,0,0,14,8,62,3,0,0,3,28,2,0,0,0,0,0,0,126
,074B022,0,0,0,18,3,1,1,0,73,25,222,6,2,1,32,115,1,4,1,0,1,2,0,508
,074B023,1,0,0,28,0,0,0,0,0,146,120,0,0,0,6,38,0,0,0,0,0,1,0,340
,074B024,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0,9,0,0,0,0,0,1,0,29
,074B025,0,0,0,22,1,0,0,0,17,66,49,0,0,1,4,53,1,4,0,1,0,0,0,219
,074B026A,1,0,0,1,180,1,1,0,11,0,6,75,1,1,0,0,0,0,0,0,6,0,0,284
,074B026B,0,0,0,2,239,1,1,0,0,0,0,79,0,0,2,0,1,0,1,0,0,0,0,326
,074B027,0,1,0,0,103,0,1,0,0,0,2,25,1,0,0,3,0,1,0,0,0,0,0,137
,074B028A,0,0,0,0,0,2,15,0,0,3,7,0,0,0,0,0,0,0,1,0,0,0,0,28
,074B028B,0,0,0,0,1,5,31,0,3,2,6,2,0,0,0,1,0,0,0,0,0,0,0,51
,074B029A,5,0,0,21,1,0,0,0,50,12,152,8,0,1,19,107,7,6,0,0,0,3,0,392
,074B029B,1,0,0,5,2,0,0,0,35,4,116,10,1,0,10,108,1,4,0,0,0,0,1,298
