"mjesto","stranka","glasovi","godina","nivo","lokacija","ukupno"
"007B013",ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),0,2014,parbih,parbih_1_521,0
"007B014",SDS-SRPSKA DEMOKRATSKA STRANKA,73,2014,parbih,parbih_1_521,0
"007B014",SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,67,2014,parbih,parbih_1_521,0
"007B014",DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,53,2014,parbih,parbih_1_521,0
"007B014",SDA - STRANKA DEMOKRATSKE AKCIJE,35,2014,parbih,parbih_1_521,0
"007B014",PDP-NDP,15,2014,parbih,parbih_1_521,0
"007B014",SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,12,2014,parbih,parbih_1_521,0
"007B014",SOCIJALISTIČKA PARTIJA,2,2014,parbih,parbih_1_521,0
"007B014",ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),1,2014,parbih,parbih_1_521,0
"007B014",SRPSKA NAPREDNA STRANKA - SNS,0,2014,parbih,parbih_1_521,0
"007B014",KOMUNISTIČKA PARTIJA,0,2014,parbih,parbih_1_521,0
"007B014",UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,0,2014,parbih,parbih_1_521,0
"007B014",STRANKA PRAVEDNE POLITIKE,0,2014,parbih,parbih_1_521,0
"007B014","HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",0,2014,parbih,parbih_1_521,0
"007B015",SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,323,2014,parbih,parbih_1_521,0
"007B015",SDS-SRPSKA DEMOKRATSKA STRANKA,192,2014,parbih,parbih_1_521,0
"007B015",PDP-NDP,74,2014,parbih,parbih_1_521,0
