,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",HSS STJEPANA RADIĆA,KAMENČIĆ AIDA,KOMUNISTIČKA PARTIJA,LABURISTIČKA STRANKA BOSNE I HERCEGOVINE LABURISTI BIH,LAVIĆ HARIS,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,POSAVSKA STRANKA,PRELJEVIĆ NEDIM,PRVA STRANKA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SDS-SRPSKA DEMOKRATSKA STRANKA,SELJAČKA STRANKA,SNAGA BOSNE I HERCEGOVINE (HSP BIH-DSI-SNAGA BOSNE-BNS),SOCIJAL DEMOKRATSKI FRONT BOSNE I HERCEGOVINE,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA PRAVDE I RAZVOJA BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,STRANKA ZA EVROPSKO SARAJEVO-SES,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,131A054,10,21,44,0,2,0,0,0,0,0,8,6,1,1,1,1,0,56,67,22,0,0,0,0,1,0,2,10,5,4,262
,131A055,11,12,34,1,1,0,0,1,0,0,5,9,1,0,0,0,1,59,59,16,0,0,4,0,2,0,8,4,3,11,242
,131A056,9,14,54,15,11,0,0,0,0,0,10,5,0,0,0,0,0,63,87,26,1,0,0,2,1,0,1,9,7,1,316
,131A057,9,14,54,9,10,0,0,2,0,0,35,11,0,0,0,0,0,59,63,8,0,1,0,2,2,0,3,8,9,2,301
,131A058,19,36,71,1,5,0,0,1,1,0,20,16,3,0,0,3,0,52,78,20,0,0,5,1,11,1,5,6,4,8,367
,131A059,11,18,56,2,4,0,0,0,0,0,24,6,2,0,0,1,0,57,54,63,0,0,0,2,1,0,6,9,6,10,332
,131A060,7,20,44,2,0,0,0,1,0,0,8,15,2,0,0,0,2,44,141,70,2,0,0,2,2,0,2,3,4,23,394
,131A061,14,24,44,1,1,0,0,0,0,0,5,5,1,1,0,3,0,88,84,33,0,0,1,1,1,0,5,4,3,2,321
,131A062,21,18,81,1,1,0,1,1,0,0,4,3,3,1,0,2,3,71,74,31,0,0,0,2,1,1,1,9,4,4,338
,131A063,17,19,61,2,7,0,0,0,0,0,4,11,5,0,0,2,0,71,94,29,0,1,1,3,0,0,6,8,0,9,350
,131A064,23,15,45,0,3,0,0,2,0,0,3,10,2,1,0,0,0,90,84,39,0,0,8,0,2,0,12,3,3,5,350
,131A065,36,10,54,1,0,0,0,1,0,0,2,1,1,0,0,0,0,93,116,15,0,0,3,1,1,0,16,3,0,4,358
,131A066,31,25,113,0,0,0,0,3,0,1,3,10,1,0,0,0,0,48,108,51,0,1,5,0,1,0,17,2,3,17,440
